City,Type,Par,Acc,N
Albuquerque,sklearn.ensemble.RandomForestClassifier,80,0.9487698011459387,8901
Atlanta,sklearn.ensemble.RandomForestClassifier,59,0.9595001673546804,8963
Beersheba,xgboost.XGBClassifier,1,1.0,8879
Boston,sklearn.ensemble.RandomForestClassifier,47,0.9909598214285714,8960
Charlotte,sklearn.ensemble.RandomForestClassifier,45,0.9528713757976044,8933
Chicago,sklearn.ensemble.RandomForestClassifier,11,0.9976185075980948,8818
Dallas,sklearn.ensemble.RandomForestClassifier,72,0.9956594323873121,8985
Denver,sklearn.ensemble.RandomForestClassifier,47,0.959962971534367,8642
Detroit,sklearn.ensemble.RandomForestClassifier,3,0.9989862581662536,8878
Eilat,xgboost.XGBClassifier,1,1.0,8856
Haifa,xgboost.XGBClassifier,1,1.0,8887
Houston,sklearn.ensemble.RandomForestClassifier,65,0.9831597606913361,9026
Indianapolis,xgboost.XGBClassifier,1,0.9996617812852311,8870
Jacksonville,sklearn.ensemble.RandomForestClassifier,60,0.9525924281114688,9007
Jerusalem,xgboost.XGBClassifier,1,1.0,8868
KansasCity,sklearn.ensemble.RandomForestClassifier,91,0.9831247206079571,8948
LasVegas,xgboost.XGBClassifier,60,0.966426318161334,8876
LosAngeles,sklearn.ensemble.RandomForestClassifier,87,0.9603695869976623,8983
Miami,sklearn.ensemble.RandomForestClassifier,64,0.9453063073264636,8831
Minneapolis,sklearn.ensemble.RandomForestClassifier,66,0.988265534197586,8948
Montreal,sklearn.ensemble.RandomForestClassifier,49,0.9810061010705652,8687
Nahariyya,xgboost.XGBClassifier,1,1.0,8887
Nashville,sklearn.ensemble.RandomForestClassifier,29,0.9833240067151651,8935
NewYork,sklearn.ensemble.RandomForestClassifier,89,0.8632194450814034,8722
Philadelphia,sklearn.ensemble.RandomForestClassifier,73,0.9219047619047619,8925
Phoenix,sklearn.ensemble.RandomForestClassifier,86,0.9231294841134268,8781
Pittsburgh,sklearn.ensemble.RandomForestClassifier,27,0.9881391965984111,8937
Portland,sklearn.ensemble.RandomForestClassifier,79,0.9245619908492356,8961
SaintLouis,sklearn.ensemble.RandomForestClassifier,57,0.9923794358507735,8792
SanAntonio,sklearn.ensemble.RandomForestClassifier,8,0.9969781757134862,8935
SanDiego,sklearn.ensemble.RandomForestClassifier,58,0.9729398663697104,8980
SanFrancisco,sklearn.ensemble.RandomForestClassifier,48,0.9708836474438551,8861
Seattle,sklearn.ensemble.RandomForestClassifier,44,0.9421708185053381,8992
TelAvivDistrict,xgboost.XGBClassifier,1,1.0,8801
Toronto,sklearn.ensemble.RandomForestClassifier,99,0.958628442945475,8895
Vancouver,sklearn.ensemble.RandomForestClassifier,58,0.990276923076923,8125
